Timestamp,Username,VideoID,Comment,Date,Cleaning,Normalisasi
2024-07-22T02:51:33Z,@ehasoleha2701,FE4iq7BzZAA,Smoga beden di hati tuanya menyadari atas perbuatannya yg salah terhadap Palestina dan di hari tuanya banyak banyak ibadah.,2024-07-22T02:51:33Z,smoga beden di hati tuanya menyadari atas perbuatannya yg salah terhadap palestina dan di hari tuanya banyak banyak ibadah,semoga beden di hati tuanya menyadari atas perbuatannya yang salah terhadap palestina dan di hari tuanya banyak banyak ibadah
2024-07-22T02:47:49Z,@user-nb9ex9mh4e,FE4iq7BzZAA,Orang pikun sudah sadar bahwa dia sudah tua,2024-07-22T02:47:49Z,orang pikun sudah sadar bahwa dia sudah tua,orang pikun sudah sadar bahwa dia sudah tua
2024-07-22T02:47:06Z,@Rizkikk,FE4iq7BzZAA,Jangankan mundur Mati juga lebih baik,2024-07-22T02:47:06Z,jangankan mundur mati juga lebih baik,jangankan mundur mati juga lebih baik
2024-07-22T02:39:28Z,@ridwanharyanto3203,FE4iq7BzZAA,Pak joe biden mundur akan meningkat suara capres dari partai demokrat...,2024-07-22T02:39:28Z,pak joe biden mundur akan meningkat suara capres dari partai demokrat,pak joe biden mundur akan meningkat suara capres dari partai demokrat
2024-07-22T02:39:22Z,@mhasiswaabadi3448,FE4iq7BzZAA,Khawatirnya nnti klo harus berhadapan dg vladimir putin &amp; xi jinping tidurnya kumat,2024-07-22T02:39:22Z,khawatirnya nnti klo harus berhadapan dg vladimir putin xi jinping tidurnya kumat,khawatirnya nanti kalau harus berhadapan dengan vladimir putin xi jinping tidurnya kumat
2024-07-22T02:38:45Z,@user-tf3hh2nx8w,FE4iq7BzZAA,"insyaAllah, mundur nya Jojo akan langsung stroke atas kekejaman yg dilakukannya terhadap masyarakat Gaza Palestina. .",2024-07-22T02:38:45Z,insyaallah mundur nya jojo akan langsung stroke atas kekejaman yg dilakukannya terhadap masyarakat gaza palestina,insyaallah mundur ya jojo akan langsung stroke atas kekejaman yang dilakukannya terhadap masyarakat gaza palestina
2024-07-22T02:37:54Z,@R.padmosobroto,FE4iq7BzZAA,Di konoha seorang  bocah di hujat di suruh ngaca gak mundur tetep gass wkwkwk,2024-07-22T02:37:54Z,di konoha seorang bocah di hujat di suruh ngaca gak mundur tetep gass wkwkwk,di konoha seorang bocah di hujat di suruh mengaca tidak mundur tetap gass wkwkwk
2024-07-22T02:37:22Z,@ykwim9536,FE4iq7BzZAA,Mestinya msuk panti jompo nih orang.....,2024-07-22T02:37:22Z,mestinya msuk panti jompo nih orang,mestinya masuk panti jompo nih orang
2024-07-22T02:36:28Z,@DAENG-t1k,FE4iq7BzZAA,"Keputusan biden sdh tepat, dia tak mau memanggung konsikwensi keadaan dunia kedepannya yg akan semakin kacau dengan perang",2024-07-22T02:36:28Z,keputusan biden sdh tepat dia tak mau memanggung konsikwensi keadaan dunia kedepannya yg akan semakin kacau dengan perang,keputusan biden sudah tepat dia tak mau memanggung konsikwensi keadaan dunia kedepannya yang akan semakin kacau dengan perang
2024-07-22T02:33:01Z,@frederikrichardFRANCIS28170,FE4iq7BzZAA,"BRAVO 2🐎 <br>HALELUJAH <br>PUJI <br>ABBA YAHWEH <br>YANG <br>BERTAHTA <br>DI ATAS <br>KERUBIN <br>KUDUS7X<br>MENGURAPI<br>KAMALA HARRIS <br>FIRST LADY <br>PRESIDENT US🇺🇸,<br>WELCOME <br>HOME<br>SWEET<br>HOME<br>WHITE HOUSE <br>NAMA<br>TUHAN<br>DI MULIAKAN <br>AMEN.",2024-07-22T02:35:38Z,bravo halelujah puji abba yahweh yang bertahta di atas kerubin kudus7xmengurapikamala harris first lady president uswelcome homesweethomewhite house namatuhandi muliakan amen,bravo halelujah puji abba yahweh yang bertahta di atas kerubin kudus7xmengurapikamala harris first lady president uswelcome homesweethomewhite house namatuhandi muliakan amin
